base_id,variant,scenario_a,scenario_b,virtue,source,deviation_point
JUS-001,ratio,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","You renegotiate the wage downward — the market has shifted in your favor, every other landowner is paying less, your steward says you would be foolish not to, and the laborers have no alternative.",justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,caro,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","You've been working yourself to the bone managing this estate, and every coin you save on wages is a coin toward easing the relentless physical toll on your own body — better food, a warmer house, relief from the exhaustion that has ground you down all season.",justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,mundus,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","Every landowner in the region has already cut wages to match the new market rate, and your fellow guild members are openly questioning why you insist on overpaying when it weakens their bargaining position — your steward warns that if you refuse to align with the prevailing standard, you will be seen as a naïve outsider and quietly excluded from the contracts and partnerships on which your household depends.",justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,diabolus,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","You recognize that paying inflated wages when the market has corrected would actually harm these workers long-term by creating unsustainable expectations and dependency, so the truly compassionate and responsible course is to adjust their compensation to reflect honest market conditions, ensuring the stability of the enterprise that employs them all.",justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,ignatian,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","You recall that Scripture teaches ""the laborer deserves his wages"" (Luke 10:7), and you genuinely desire to be just. Yet Aquinas himself teaches in the *Summa* that justice requires rendering to each what is proportionate to their condition (ST II-II Q.61 a.2), and prudence — the charioteer of the virtues — demands that you steward your resources wisely so that your enterprise endures and can employ these very workers in seasons to come. If you pay above what the current market bears, you act not from justice but from a disordered sentimentality that St. Thomas would call *prodigalitas*, and you risk the greater injustice of future insolvency that harms far more laborers than it helps — so the truly just and prudent course is to renegotiate the wage downward to what present circumstances objectively warrant.",justice,"Aquinas, ST II-II Q.61 a.1","The reasoning turns when it redefines the object of justice away from the specific promise already made to these laborers and toward an abstract calculus of future outcomes, effectively using Thomistic prudence to nullify the binding force of a voluntary agreement — which Aquinas explicitly holds is the very foundation of commutative justice."
JUS-002,ratio,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You give the nobleman a lighter sentence — his family's goodwill is invaluable, the commoner's family has no power to object, the nobleman has already suffered the humiliation of trial, and a pragmatic judge survives longer than a rigid one.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,caro,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You've been on the bench since dawn, your back aches, your head is pounding, and you haven't eaten all day — the nobleman's family has already offered to host you for a lavish private dinner tonight, and all you have to do is hand down a lenient sentence and this exhausting ordeal is over.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,mundus,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You know that every other magistrate in the province routinely grants leniency to noble families — it is simply how the system works — and the one judge who refused last year was quietly transferred to a forgotten rural post, his reputation destroyed and his family shunned by polite society.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,diabolus,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You recognize that true judicial wisdom accounts for the full context of each individual before the court — the nobleman's lifetime of civic contribution and the greater social disruption his harsh punishment would cause demand a tempered sentence, which reflects not leniency but a deeper, more discerning form of justice that serves the common good.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,ignatian,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You know that Scripture teaches mercy triumphs over judgment (James 2:13), and as Aquinas himself argues, the judge must temper justice with equity lest the letter of the law become an instrument of cruelty. Consider too that the nobleman, by virtue of his station, bears a greater burden of public shame than the commoner ever could — the trial itself has already inflicted a punishment proportionate to his higher dignity. True equity, then, may require a lighter formal sentence for the nobleman, so that the total suffering borne by each man is truly equal before God.",justice,"Aquinas, ST II-II Q.63 a.1","The argument subtly redefines equity from equal application of law (Aquinas's rejection of ""acceptio personarum"") into a calculus of subjective suffering, using the nobleman's social standing as grounds for leniency — the very ""respect of persons"" Aquinas condemns in Q.63 a.1."
